,Anime_Name,Anime_img_url,Sub_Dub
85,My Master Has No Tail,https://img.zorores.com/_r/300x400/100/4c/9a/4c9ac83c6ab7f5d2c9019c7d4757611e/4c9ac83c6ab7f5d2c9019c7d4757611e.jpg,['SUB']
86,Housing Complex C,https://img.zorores.com/_r/300x400/100/38/15/38156841df926aff6db8db363b6fa67f/38156841df926aff6db8db363b6fa67f.jpg,['DUB']
87,Four People and Their Respective Lies,https://img.zorores.com/_r/300x400/100/e7/b8/e7b8fa8bf8c2298046f357084a703b88/e7b8fa8bf8c2298046f357084a703b88.png,['SUB']
88,Yowamushi Pedal 5th Season,https://img.zorores.com/_r/300x400/100/c2/be/c2be5f046a5a4017dac87d01c70bfd5d/c2be5f046a5a4017dac87d01c70bfd5d.jpg,['SUB']
89,Management of Novice Alchemist,https://img.zorores.com/_r/300x400/100/c9/b4/c9b4c54b1c97b04ef48a1ac23a449042/c9b4c54b1c97b04ef48a1ac23a449042.jpg,['SUB']
90,Arknights Animation: Prelude to Dawn,https://img.zorores.com/_r/300x400/100/98/95/989587ed4bb13d80711dd8be32854a22/989587ed4bb13d80711dd8be32854a22.jpg,['SUB']
91,Immoral Guild,https://img.zorores.com/_r/300x400/100/56/ca/56caeadc3e452ceafad870bbdb99dbe6/56caeadc3e452ceafad870bbdb99dbe6.jpg,['SUB']
92,Love Flops,https://img.zorores.com/_r/300x400/100/8c/08/8c08b4fd12e27ac4e1dc4e72af8e9568/8c08b4fd12e27ac4e1dc4e72af8e9568.jpg,['SUB']
93,"Play It Cool, Guys",https://img.zorores.com/_r/300x400/100/bd/6c/bd6cc124389350b4657397e6e15c02a4/bd6cc124389350b4657397e6e15c02a4.jpg,['SUB']
94,Mobile Suit Gundam: The Witch from Mercury,https://img.zorores.com/_r/300x400/100/80/07/8007ca243c09ad60b98c7364dd2fd0d3/8007ca243c09ad60b98c7364dd2fd0d3.png,['SUB']
95,Princess of the Bibliophile.,https://img.zorores.com/_r/300x400/100/67/ae/67aebbc1089f0baa39d345833678184c/67aebbc1089f0baa39d345833678184c.jpg,['SUB']
96,Pop Team Epic 2nd Season,https://img.zorores.com/_r/300x400/100/a8/12/a812ba6f6dcc7e3c149322afa7f78d5b/a812ba6f6dcc7e3c149322afa7f78d5b.jpg,"['SUB', 'DUB']"
97,Raven of the Inner Palace,https://img.zorores.com/_r/300x400/100/cc/4d/cc4d9dcda8d3e701301c1d389bca49ca/cc4d9dcda8d3e701301c1d389bca49ca.jpg,"['SUB', 'DUB']"
